Artiste,Generation,Compagnie,Sexe,Taille,Nombre_de_titres,MOYENNE_TOTALE
(G)I-dle,4,CUBE Entertainment,Fille,Groupe,9,5.76
2 PM,2,JYP Entertainment,Gars,Groupe,1,4.8
2Ne1,2,YG Entertainment,Fille,Groupe,2,5.85
4Minute,2,CUBE Entertainment,Fille,Groupe,1,6.4
8Turn,5,MNH Entertainment,Gars,Groupe,2,5.6
AB6IX,4,Brand New Music,Gars,Groupe,1,6.0
Aespa,4,SM Entertainment,Fille,Groupe,8,6.15
Agust D,3,BigHit Entertainment,Gars,Solo,2,4.75
AleXa,4,ZB Label,Fille,Solo,1,6.9
Ampers&one,5,FNC Entertainment,Gars,Groupe,1,5.9
Astro,3,Fantagio,Gars,Groupe,1,7.8
Ateez,4,KQ Entertainment,Gars,Groupe,14,7.86
B.A.P,2,TS Entertainment,Gars,Groupe,2,6.7
BTS,3,BigHit Entertainment,Gars,Groupe,37,5.91
BabyMonster,5,YG Entertainment,Fille,Groupe,4,5.23
Badvillain,5,BPM,Fille,Groupe,1,7.1
Bibi,4,88rising,Fille,Solo,1,7.7
BigBang,2,YG Entertainment,Gars,Groupe,4,5.2
BlackPink,3,YG Entertainment,Fille,Groupe,14,6.49
Block B,2,Seven Seasons,Gars,Groupe,2,6.25
BoyNextDoor,5,KOZ Entertainment,Gars,Groupe,2,6.6
Brave Girls,3,Brave Entertainment,Fille,Groupe,1,5.7
Bus,5,TADA Labels,Gars,Groupe,1,6.4
CIX,4,C9 Entertainment,Gars,Groupe,1,6.3
Chung Ha,3,MNH Entertainment,Fille,Solo,1,7.2
Cnblue,2,FNC Entertainment,Gars,Groupe,1,4.7
Cravity,4,Starship Entertainment,Gars,Groupe,1,7.2
Day6,3,JYP Entertainment,Gars,Groupe,3,7.83
Dongkiz,4,Dongyo,Gars,Groupe,1,6.8
Dreamcatcher,3,Dreamcatcher Company,Fille,Groupe,7,8.73
Enhypen,4,Belift Lab,Gars,Groupe,10,7.01
Eric Nam,3,CJeS Entertainment,Gars,Solo,1,6.2
Everglow,4,Yuehua Entertainment,Fille,Groupe,6,7.32
Exid,2,Banana Culture Entertainment,Fille,Groupe,1,6.1
Exo,3,SM Entertainment,Gars,Groupe,5,6.3
Fifty fifty,4,AAP Entertainment,Fille,Groupe,1,4.3
Ftisland,2,FNC Entertainment,Gars,Groupe,1,6.4
GOT the beat,4,SM Entertainment,Fille,Groupe,1,6.0
Gfriend,3,Source Music,Fille,Groupe,1,4.9
Girls' Generation,2,SM Entertainment,Fille,Groupe,3,4.53
Got7,3,JYP Entertainment,Gars,Groupe,5,5.98
Huh Yunjin,4,Source Music,Fille,Solo,1,5.4
Hwa Sa,3,RBW,Fille,Solo,2,7.1
Illit,4,BELIFT LAB,Fille,Groupe,1,4.5
Itzy,4,JYP Entertainment,Fille,Groupe,6,6.27
Ive,4,Starship Entertainment,Fille,Groupe,7,4.94
Iz*one,4,Off The Record Entertainment,Fille,Groupe,4,5.73
J-Hope,3,BigHit Entertainment,Gars,Solo,1,2.5
Jackson Wang,3,Team Wang,Gars,Solo,1,6.8
Jennie,3,YG Entertainment,Fille,Solo,2,4.15
Jeon somi,3,The Black Label,Fille,Solo,2,6.3
Jihyo,3,JYP Entertainment,Fille,Solo,1,5.5
Jimin,3,BigHit Entertainment,Gars,Solo,3,6.17
Jisoo,3,YG Entertainment,Fille,Solo,1,3.3
Jung Kook,3,BigHit Entertainment,Gars,Solo,3,4.9
Just B,4,Bluedot Entertainment,Gars,Groupe,1,5.5
Kai,3,SM Entertainment,Gars,Solo,1,5.8
Kang Daniel,3,KONNECT Entertainment,Gars,Groupe,1,5.8
Kep1er,4,Wake One Entertainment,Fille,Groupe,2,4.35
Kiss of life,5,S2 Entertainment,Fille,Groupe,2,4.95
Le Sserafim,4,Source Music,Fille,Groupe,7,5.17
Lisa,3,YG Entertainment,Fille,Solo,4,5.7
Loona,3,BlockBerryCreative,Fille,Groupe,2,5.95
Loossemble,5,CTDE&M,Fille,Groupe,1,6.3
Lucy,4,Mystic Story,Gars,Groupe,2,8.35
MCND,4,TOP Media,Gars,Groupe,1,6.8
Mamamoo,2,RBW,Fille,Groupe,3,7.1
Momoland,3,MLD Entertainment,Fille,Groupe,2,4.2
Monsta X,3,Starship Entertainment,Gars,Groupe,2,7.25
N.Flying,2,FNC Entertainment,Gars,Groupe,3,7.03
NCT 127,4,SM Entertainment,Gars,Groupe,5,5.62
NCT Dream,4,SM Entertainment,Gars,Groupe,6,5.92
NCT U,4,SM Entertainment,Gars,Groupe,2,6.1
Nayeon,3,JYP Entertainment,Fille,Solo,1,6.0
NewJeans,4,ADOR,Fille,Groupe,6,4.43
Nmixx,4,JYP Entertainment,Fille,Groupe,5,4.72
Nu'est,2,Pledis Entertainment,Gars,Groupe,2,6.35
ONF,3,WM Entertainment,Gars,Groupe,1,7.1
Oneus,4,RBW,Gars,Groupe,4,7.13
P1Harmony,4,FNC Entertainment,Gars,Groupe,4,6.95
Pentagon,3,CUBE Entertainment,Gars,Groupe,5,7.34
Psy,2,YG Entertainment,Gars,Solo,5,5.54
Red Velvet,3,SM Entertainment,Fille,Groupe,6,5.38
Riize,5,SM Entertainment,Gars,Groupe,3,5.57
Rosé,3,YG Entertainment,Fille,Solo,2,6.45
SF9,3,FNC Entertainment,Gars,Groupe,2,6.75
SHINee,2,SM Entertainment,Gars,Groupe,2,5.5
Samuel,3,Brave Entertainment,Gars,Solo,1,6.5
Seventeen,3,Pledis Entertainment,Gars,Groupe,16,6.51
Shaun,3,AOMG,Gars,Solo,1,5.3
StayC,4,High Up Entertainment,Fille,Groupe,3,4.07
Stella Jang,3,Schnauzer Boulangerie,Fille,Solo,1,2.6
Stray Kids,4,JYP Entertainment,Gars,Groupe,44,7.95
Sunmi,2,Makeus Entertainment,Fille,Solo,3,6.2
Super junior,2,SM Entertainment,Gars,Groupe,4,5.55
SuperM,4,SM Entertainment,Gars,Groupe,2,6.45
TWS,5,Pledis Entertainment,Gars,Groupe,1,6.1
TXT,4,BigHit Entertainment,Gars,Groupe,15,6.01
Taemin,2,SM Entertainment,Gars,Solo,1,6.0
Tempest,4,Yuehua Entertainment,Gars,Groupe,1,7.5
The Boyz,4,Cre.ker Entertainment,Gars,Groupe,1,6.9
The KingDom,5,GF Entertainment,Gars,Groupe,1,7.4
The boyz,4,ONE HUNDRED ,Gars,Groupe,2,7.45
The rose,3,J&Star Entertainment,Gars,Groupe,2,7.65
Treasure,4,YG Entertainment,Gars,Groupe,7,6.43
Twice,3,JYP Entertainment,Fille,Groupe,10,5.42
Tzuyu,3,JYP Entertainment,Fille,Solo,1,4.4
Uniq,3,YG Entertainment,Gars,Groupe,1,5.7
VIXX,2,Jellyfish Entertainment,Gars,Groupe,1,6.5
Viviz,4,BPM Entertainment,Fille,Groupe,1,5.4
Wanna one,3,YMC Entertainment,Gars,Groupe,3,6.4
Weekly,4,Play M Entertainment,Fille,Groupe,1,5.7
Wendy,3,SM Entertainment,Fille,Solo,1,4.8
Winner,3,YG Entertainment,Gars,Groupe,1,5.6
Wonder Girls,2,JYP Entertainment,Fille,Groupe,2,4.7
Woodz,4,Play M Entertainment,Gars,Groupe,1,7.4
X1,4,CJ ENM,Gars,Groupe,1,7.2
XG,4,XGALX,Fille,Groupe,1,6.0
Xdinary Heroes,4,JYP Entertainment,Gars,Groupe,5,8.18
Xikers,5,KQ Entertainment,Gars,Groupe,2,6.95
Yena,4,Waterbomb,Fille,Solo,2,5.85
Yena & Yuqi,4,/Null/,Fille,Duo,1,4.7
Yeonjun,4,BigHit Entertainment,Gars,Solo,1,4.6
Zerobaseone,5,WAKEONE,Gars,Groupe,3,6.04
f(x),2,SM Entertainment,Fille,Groupe,1,4.4
iKon,2,YG Entertainment,Gars,Groupe,2,6.15
